"enhancer"	"status"	"prediction_Twi2014"
"58"	"sog_chrX_15517994_15519994"	"putative"	"on"
"59"	"brk_chrX_7200837_7202837"	"putative"	"off"
"60"	"hb_chr3R_4511862_4512362"	"putative"	"off"
"61"	"Kr_chr2R_21106001_21108001"	"putative"	"off"
"62"	"eve_chr2R_5854622_5855122"	"putative"	"off"
"63"	"sna_chr2L_15469966_15471966"	"putative"	"on"
"64"	"sna_chr2L_15481207_15483207"	"putative"	"off"
"65"	"Kni_chr3L_20689495_20691495"	"putative"	"off"
"66"	"sna_chr2L_15490925_15492925"	"putative"	"on"
"67"	"hb_chr3R_4524947_4525447"	"putative"	"off"
"68"	"eve_chr2R_5871464_5871964"	"putative"	"off"
"69"	"brk_chrX_7192007_7192507"	"putative"	"off"
"70"	"brk_chrX_7213746_7215746"	"putative"	"on"
"71"	"brk_chrX_7214992_7216992"	"putative"	"on"
"72"	"rho_chr3L_1461239_1463239"	"putative"	"on"
"73"	"sog_chrX_15540025_15542025"	"putative"	"on"
"74"	"sna_chr2L_15478928_15480928"	"putative"	"on"
"75"	"sna_chr2L_15485547_15487547"	"putative"	"on"
"76"	"sna_chr2L_15485549_15486049"	"putative"	"on"
"77"	"vnd_chrX_483735_485735"	"putative"	"on"
"78"	"vnd_chrX_486105_488105"	"putative"	"on"
"79"	"vnd_chrX_488828_490828"	"putative"	"off"
"80"	"hb_chr3R_4525589_4527589"	"putative"	"off"
"81"	"Kni_chr3L_20692060_20694060"	"putative"	"on"
"82"	"eve_chr2R_5846677_5848677"	"putative"	"on"
"83"	"eve_chr2R_5860539_5862539"	"putative"	"off"
"84"	"eve_chr2R_5863996_5865996"	"putative"	"off"
"85"	"rho_chr3L_1462624_1464624"	"putative"	"off"
"86"	"brk_chrX_7190013_7192013"	"putative"	"on"
"87"	"rho_chr3L_1455441_1457441"	"putative"	"off"
"88"	"hb_chr3R_4523018_4525018"	"putative"	"off"
"89"	"Kr_chr2R_21092928_21094928"	"putative"	"off"
"90"	"sna_chr2L_15477457_15479457"	"putative"	"on"
"91"	"hb_chr3R_4513198_4515198"	"putative"	"off"
"92"	"hb_chr3R_4512102_4514102"	"putative"	"off"
